id,text,label_list,PRODUCT_POSITIVE,PRODUCT_NEGATIVE,PRODUCT_NEUTRAL,PRICE_POSITIVE,PRICE_NEGATIVE,PRICE_NEUTRAL,PLACE_POSITIVE,PLACE_NEGATIVE,PLACE_NEUTRAL,PROMOTION_POSITIVE,PROMOTION_NEGATIVE,PROMOTION_NEUTRAL,OUT_OF_TOPIC
619,mantap kemeja nya cocok di badan sesuai ukuran,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
620,saya pesan dua yg dikirim satu,PLACE_NEGATIVE,0,0,0,0,0,0,0,1,0,0,0,0,0
621,tempat yg lengkap untuk beli outfit dan ada viscose disini suka banget sukses terus nadira hijab,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
622,bagus suka simpel size nya pun pas,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
623,tempat lucu koleksi bagus dan worth it,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
624,modelnya chakep bahan adem,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
625,bahan tipis kaya harga 70 80 rbu,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
626,produk sesuai deskripsi dan selamat sampai rumah,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
627,lengkap ada aksesoris tas sepatu dll ada juga baju untuk pria dan wanita parkir luas lokasi strategis dan mudah dijangkau pelayanan ramah ada tiga lantai lantai pertama untuk aksesoris tas sepatu dll lantai dua digunakan untuk baju wanita dan lantai ketiga untuk baju pria akses untuk ke masingmasing lantai hanya menggunakan tangga tidak ada lift maupun eskalator,PLACE_POSITIVE|PLACE_NEGATIVE|PLACE_NEUTRAL,0,0,0,0,0,0,1,1,1,0,0,0,0
628,staff ramah banget diarahin tempatnya barang lengkap sih toko bersih dan wangi ada free minum kalo cape muter muter toko,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
629,product quality good quality bahan tebel panjang pas untuk tb 165an bb 4550 kg cakep nih brand lokal,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
630,kualitasnya baguss,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
631,keren bet luh punya baju gk buat pandwjafbe,PRODUCT_POSITIVE|OUT_OF_TOPIC,1,0,0,0,0,0,0,0,0,0,0,0,1
632,celana good pokonyaa bessss nexx order lagi dahh yahhh mudah mudahan awet,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
633,bb 67 tinggi 168 pakai m,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
634,size l cocok untuk tb 174 cm bb 76 kg bahan tidak terlalu tipis dan tidak terlalu tebal sangat oke,PRODUCT_POSITIVE|PRODUCT_NEUTRAL,1,0,1,0,0,0,0,0,0,0,0,0,0
635,kainnya bagus wajib beli,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
636,kualitas produk tebel bahan adem the best lah,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
637,kasih dong program diskon juga buat off line nya,PROMOTION_NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,1,0
638,sangat puas dan memuaskan,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
639,product quality tebal tetapi adem ga bikin gerah tidak berbulu ukuran baggy tapi nggak kebesaran bgt pas,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
640,lumayan lengkap untuk kebutuhan,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
641,bahannya nyaman banget dipake suka banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
642,pengiriman sulawesi selatan 4 hari bajunya tebal kainnya juga oke mantap lah pokoknya,PRODUCT_POSITIVE|OUT_OF_TOPIC,1,0,0,0,0,0,0,0,0,0,0,0,1
643,bahannya bagus jaitannya juga tapi jaitan kancingnya sepertinya kurang kuat saya cuci 1x langsung copot,PRODUCT_POSITIVE|PRODUCT_NEGATIVE,1,1,0,0,0,0,0,0,0,0,0,0,0
644,cocok untuk cari baju wanita harga terjangkau model kekinian,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
645,pengiriman tepat waktu untuk ukuran saya suka yg sedikit besar jadi bisa di pake jangka lama terimakasih atas pelayanannya screamous,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
646,bahan tebal gak gerah look enak di lihat gak kecewa si sama produk dari onoma udah nyoba beli 4x baju oversize dari brand lain yang paling nyaman dan good looking di ono,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
647,paket telah di terima semua pesanan sesuai ukuran pun sesuai saya ras ukuran xl bisa masuk sampai dengan bb 100115 kg semoga awet dan pasti akan berbelanja kembali d,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
648,mantap sih bakal repeat,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
649,pengirimannya cepet bahannya lembut tebel bagus banget dah cakep warna putihnya pake size m untuk tb 172 pas,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
650,aku sangat menunggu store ini dibuka akhirnya deket tempat tinggalku,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
651,kualitas produk tidak sesuai dengan foto mana bahannya tipis dan kegedean,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
652,kerenn bangett bajunya bahan tebal cuttingan oke seperti baju mewah,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
653,bagus banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
654,kualitas produk bagus tebel halus lembut,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
655,barangnya bagus bangett bisa bikin member tiap kelipatan 350k,PRODUCT_POSITIVE|PROMOTION_POSITIVE,1,0,0,0,0,0,0,0,0,1,0,0,0
656,pelayanan baik barang bagus,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
657,koleksi lucu pelayanan ramah nyaman dipakai,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
658,lokasinya strategis parkiran luas bayar 1k untuk motor dan 2k buat mobil perlengkapan pakaian cukup lengkap harga terjangkau ada 3 lantai macam2 sekali fashion dan aksesorisnya,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
659,sangat lengkap bervariasi harga murah dan berkualitas,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
660,barangnya bagus2 dan harganya afordable,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
661,ukuran pas bhan lumayan tebel dan bagus suka krna panjangnya pas disaya yg tinggi badan 168 bb 70 semoga awet,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
662,pengiriman cepat packing rapi enak dipakai adem,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
663,bajunya cakep tidak hanya hijab tapi ada juga non hijab,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
664,kualitas ok cuma salah ambil ukuran aja,PRODUCT_POSITIVE|PRODUCT_NEGATIVE,1,1,0,0,0,0,0,0,0,0,0,0,0
665,suka banget produknya mantap,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
666,ukurannya pas bahan lumayan sesuai harga,PRODUCT_POSITIVE|PRICE_NEUTRAL,1,0,0,0,0,1,0,0,0,0,0,0,0
667,pelayanan ramah toko bersih banyak model kekinian,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
668,fashion korean terbaru harga terjangkau pelayanan ramah,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
669,bajunya bagus banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
670,pilihan banyak baju lucu pelayanan ramah,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
671,tipis scam gak sama yang di foto,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
672,pesen 3 dengan ukuran sama semua tapi yg dateng 2 betul 1 malah beda ukuran ga ada konfirmasi juga bahannya yg warna hitam doang yg bagus dari 3 warna yg saya pesen,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
673,bgus bahannya tebel cocok dan pas,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
674,bagus banget dan bahannya pun adem banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
675,bahan dan model keren,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
676,pelayanannya bagus bajunya simple tapi elegan,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
677,kualitas produk gacorrr minn 11 12 sama uniqlo suka pokonya min thanks berkah selalu,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
678,kualitas produk sangat bagus,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
679,bagus bahan nya oke ga yang terlalu tipis dan ga yg terlalu tebal warna nya juga sesuai di gambar,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
680,bajunya lucu dan bahannya bagus banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
681,bahan tebal dan sangat halus cocok,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
682,pilihan yang tepat bagi yang suka mix and match outfit tersedia beragam pilihan dari anak hingga dewasa,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
683,pelayanan ramah toko luas dan komplit,PLACE_POSITIVE|PROMOTION_POSITIVE,0,0,0,0,0,0,1,0,0,1,0,0,0
684,kualitas produk halus lumayan tebel juga lumayan lah buat harga segini,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
685,bahan nya tebal adem jahitan tapi sangat recommended deh pokok nya,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
686,ukuran agak terlalu besar bisa dipertimbangkan kembali untuk downsize,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
687,keren bangettebal bahannya tapi adem,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
688,tempat nyaman harga terjangkau bersih barang berkualitas,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
689,gg kualitas produk gg,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
690,sukaa bgtt belanja di zano banyak diskon pelayanannya ramah bgttt,PLACE_POSITIVE|PROMOTION_POSITIVE,0,0,0,0,0,0,1,0,0,1,0,0,0
691,udah beli disana bener2 bagus banget model2 nya dan bahannya bagus banget lembutttt sukaaa bangettt,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
692,bagus bagus,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
693,tempat belanjanya kaum hawa tempatnya cakep estetik puoll,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
694,pembelian kesekian kalinya onoma selama ini tidak pernah mengecewakan pertahankan terus kualitasya,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
695,biarkan bintang berbicara pokoke jos,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
696,lumayan lengkap untuk kebutuhan ruangan dingin juga pelayanan baik mantap,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
697,bahan adem kualitasnya bagus packing rapi jahitan rapi pengiriman sangat cepat,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
698,aku beli baju di toko zano ini sangat amanah bagus dan cantik bajunyakakanya ramah sekali luvv zanonext klo ada rezeki bnyk order lagi huhuhuy,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
699,product quality gokil bahannya nyaman mantep pokoknya,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
700,bagussss bangeett bahannya bagus cuttingannya juga bagus muat di bb 88 tb 160,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
701,tempat bersih nyaman pelayanan memuaskan harga terjangkau,PRICE_POSITIVE|PLACE_POSITIVE,0,0,0,1,0,0,1,0,0,0,0,0,0
702,harganya muraaaaaaah meriaaaaaaaaaah kasir ramah tempat ganti banyaaak baju dikelompokkan menurut warna jadi enak milihnya,PRICE_POSITIVE|PLACE_POSITIVE,0,0,0,1,0,0,1,0,0,0,0,0,0
703,bajunya bagus dan lucu,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
704,size l cocok untuk tb 174 cm bb 76 kg bahan tidak terlalu tipis dan tidak terlalu tebal sangat oke,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
705,bagus tabel juga bahannya,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
706,not best but good for this value,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
707,bagusssss bangetttttt mbasss cocokkk untukk couplee segeraaa belii,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
708,fashion icon jakal ini menurutku tempatnya strategis dan gampang dicari parkirnya luas dan udah terorganisir dengan baik lewat 1 pintu jd ga bisa untuk tukang parkir yg nakal tp kelemahannya ga ada yg nyebrang ini misal butuh nyebrang penataan bajunya lumayan rapi ada tulisan di setiap area bajunya jadi lebih mempermudah kalo mau cari baju pilihannya jg cukup lengkap area lantai atas ada bermacammacam pilihan pakaian celana jilbab dan bbrp asesoris area lantai bawah khusus sepatu dan asesoris yg lebih lengkap pembayaran bisa tunai dan qris khusus qris ada minimal pembelian kalau tidak salah 50000 kebetulan kesini dadakan utk mencari baju tp tdk ada yg sesuai kebutuhan krn stock sedang habis menurutku cukup lengkap untuk mencari berbagai jenis fashion dgn harga yg cukup murah,PRODUCT_POSITIVE|PRODUCT_NEGATIVE|PRICE_POSITIVE|PLACE_POSITIVE|PLACE_NEGATIVE,1,1,0,1,0,0,1,1,0,0,0,0,0
709,model dan bahannya bagus pengiriman juga cepat,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
710,pertama pengiriman mantep banget 2 hari sampe kedua kemeja crema nya cakeppp banget sesuai dengan gambarnya bahannya apa lagi bagus banget tipis tapi gak yg tipis b,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
711,hitam pekatsweatpants nya tebal dan di gunakan ga bikin gerahbahan bagus halus rekomendasi,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
712,bagus good perfect rosenbaum s b gupta v patel p 2024 january 30 ketamine statpearls publishing,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
713,nice shirt bahannya enak thankyou so much langsung beli seabrek menyesal gk nambah items lagi haha,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
714,bagus bagus koleksinyaa,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
715,baru pertama beli lihat d tt ternyata bgus bgtg nyesel penjual y jg ramah bgt,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
716,good lainnya juga adem,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
717,ukuran l tb bb 171 71 kain tebal ukuran pas,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
718,best buy in december hahaha baguus cuttingannya juga oke,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
719,tempat belanja lengkap best pokoknya,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
720,bagus sesuai ekspektasi,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
721,bagus banget bajunya lucu gemas,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
722,bajunya lucu lucu,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
723,tempatnya cozy,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
724,keren banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
725,store lengkap pelayanan ramah,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
726,baru bgt beli kamarin dan baru dipakai robek rusak kancing copot,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
727,tb 176 bb 68 bahan lembut nyaman ga panas ga gatel di pake,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
728,kualitas bgus cuma sya psan hitam dn abu tapi yg dtg dua2nya warna abu,PRODUCT_POSITIVE|PLACE_NEGATIVE,1,0,0,0,0,0,0,1,0,0,0,0,0
729,produk dengan kualitas terbaik dengan harga yang paling value for money pelayanan ok dan delivery tepat waktu,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
730,bagusss banget next beli yang lain,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
731,produk screamous sangat bagus pokonya gk di ragukan mantap broo,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
732,tokonya bagus bersih dan banyak baju lucu,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
733,kualitasnya udah se bagus itu dan bahanya adem dan nayam pokonya kalau di paki buat aktifitas di luar mah buat penampilan kita lebih keren abis dan lebih percaya diri,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
734,tersedia bermacam fashion mudah dijangkau berada dipinggir jalan utama update kini semakin tertata hanya perlu pendingin ruangan agar belanja semakin nyaman,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
735,store lengkap koleksi bagus harga terjangkau lokasi mudah dijangkau,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
736,barangnya bagus bangett bisa bikin member tiap kelipatan 350k,PRODUCT_POSITIVE|PROMOTION_POSITIVE,1,0,0,0,0,0,0,0,0,1,0,0,0
737,koleksinya lengkap dan terjangkau,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
738,kualitas produk nyaman dan hangatcocok buat saya yang tinggal di daerah yang dingin,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
739,pelayanan bagus admin membantu baju lucu,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
740,bahan tebal enak d pakai size nya pas banget mantap ga ada kekurangan,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
741,kualitas produk bagus banget harga worth it trus bahan adem jugaaa enak nyaman dipakai bestbbgt lah hehehe emang suka dari brand screamous sih izinnnn,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE,1,0,0,1,0,0,1,0,0,0,0,0,0
742,tempatnya luas pelayanan bagus mantaaap pokoknya,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
743,ukuran aktual ternyata lebih kecil dibanding yang tertera di deskripsi,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
744,kali pertama sih datang ke sini pdhal udh lmaa tokonya sukak sama pelayanan pak satpamnya ramah tempt luas perlengakapan rumah tangga ank ank dewasa pun adaa lengkap lantai 2 fhasion perempuan bnyk modell disana termasuknya lengkap harga sesuai bahan sih klo yg aq liad cosmetic juga ada tapi ga terlalu banyak acnya kurang dingin ada spot foto sederhana dilantai 3 di fhasion cowok parkir hnya 1000 ajaa padahal disana berjam jam recomeded lah,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE|PLACE_NEGATIVE,1,0,0,1,0,0,1,1,0,0,0,0,0
745,mantappp is the bestt,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
746,udah tau hos dari lama dulu beberapa kali beli di kotabaru kemarin coba ke cabang barunya di wirobrajan untuk bajunya cukup bagus dari warna kemudian modelnya bahannya jg oke harganya juga oke bgt di wirobrajan ini design tokonya oke bgt ga begitu luas tapi nyaman yang bikin agak risih pegawainya kemarin ketika saya beli kebetulan toko sedang sepi hanya ada saya teman saya dan beberapa karyawan begitu saya masuk karyawannya langsung mbuntutin dan ngeliatin saya sm temen saya dengan tatapan yg bikin ga nyaman pas temen saya ke pojok depan saya liat karyawannya ngikutin temen saya ke sana setiap gerak geril saya temen saya betul2 diliat dengan seksama jujur saya risih banget mereka juga terlihat saling kontak mata untuk kerjasama memantau saya dan teman saya jujur risih banget saya tau mungkin itu bentuk kehati2an akan adanya pencurian tapi saya rasa itu berlebihan mengingat kalian punya cctv dan alat pendeteksi barang di deket pintu masuk apakah harus bgt segitu jelinya mantau pembelinya jujur ga nyaman dan risih bangett cara kalian ngawasin dan ngeliatin kami udh berasa kami mau maling rasanya udh pengen langsung bayar dan keluar ajaa kedepannya tolong diperbaiki lebih ramah lagi misal mau ngawasin ya silahkan tp tetep jaga kenyamanan customernya customernya 2 yg ngawasin 5 berasa baru ujian nasional jujur semoga next kesana udh lebih baik lagi deh ya,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE|PLACE_NEGATIVE,1,0,0,1,0,0,1,1,0,0,0,0,0
747,pengiriman tepat waktu untuk ukuran saya suka yg sedikit besar jadi bisa di pake jangka lama terimakasih atas pelayanannya screamous,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
748,bahan nyaman dan tebal serta halus,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
749,warna lucu lucu bahannya juga bagus,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
750,dari pertama masuk ke tokonya langsung disambut dengan suasana yang cozy dan aesthetic koleksi bajunyaa juga bagus dan kece modelnya kekinian banget cocok buat hangout ngantor sampai acara spesial pelayanannya juga juara mba2 nya ramah sabar dan selalu siap bantu cari ukuran atau rekomendasi style yang pas,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
751,bahannya nyaman sesuai deskripsi so far size yg kupilih pas banget,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
752,kerenn lembut dan halus bangtt,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
753,toko bersih pelayanan ramah baju lengkap,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
754,kualitas produk mantep lah ukuran 32 tb 175 bb 74,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
755,ukurannya pas tinggi badan 171 180 cm berat badan 80 kg,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
756,sangat bagus puas tidak mengecewakan,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
757,produk bagus sesuai dengan real pict nya kurir ramah,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
758,pelayanan bagus dan barang barangnya juga lumayan lengkap puas belanja disini,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
759,udh 3 kali beli disini selalu puas dengan bahan dan kualitas nya,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
760,sangat rekomendasi dengan cuaca sekarang yang dingin memakai celana dengan bahan setebal ini,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
761,keren2 koleksinya pelayanannya bagus dan ramah2,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
762,baik tapi saya ukuran xl di bahan nya aku kebesaran,PRODUCT_POSITIVE|PRODUCT_NEGATIVE,1,1,0,0,0,0,0,0,0,0,0,0,0
763,bahannya okeeukuran pas untuk tb 100,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
764,tempatnya persis setelah lampu merah jakal km9 tempat luas sistem parkir modern dan biaya parkir juga terjangkau motor 1k mobil 2k menyediakan berbagai kebutuhan cewe dan cowo bajubajunya banyak pilihan dan hits kekinian pembayaran kasir tiap lantai jadi ketika kita bawa ke lantai lainnya otomatis mbak kasirnya akan menghimbau utk pembayaran sesuai lantai kita ambil barangnya ya penerangan di tempat ini juga baik terbukti kalau siang terang malam tetap terang tidak redup dan remang2 jadi pas pilih warna atau sesuatu yg harus diteliti ulang sebelum bayar lega pelayanan juga ramah tingkatkan terus yaa soalnya langganan beli baju di sini hehehe,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
765,kualitas produk sangat rare,PRODUCT_POSITIVE,1,0,0,0,0,0,0,0,0,0,0,0,0
766,lokasinya cukup strategis parkirnya bayar standar lah lahan parkir luass ada tiga lantai ternyata fashion lantai 2 3 barang2nya ori tapi harga murah kenapa bisa murah ya yo ben fashion pria wanita lengkapp insyaallah deng bagian bawah ada printilan2 boneka selimut sepatu tas dll toserba bet rekomended buat beli2 ini itu tapi kagak jual indomie kenapa ya ngga dari dulu temenku rekomendasiin tempat ini agak kesal,PRODUCT_POSITIVE|PRICE_POSITIVE|PLACE_POSITIVE|PLACE_NEUTRAL,1,0,0,1,0,0,1,0,1,0,0,0,0
767,jujur ya ini ntah yg keberapa kali gw belanja online dan baru kali ini gw sudi ngasih ulasan bukan berarti sebelumnya gk puas yaa tpi baru kali ini gw belanj,OUT_OF_TOPIC,0,0,0,0,0,0,0,0,0,0,0,0,1
768,nggk masuk akal bahan bagus banget kualitas mantap dengan harga terjangkau kalau dibanding merek luar rekomended banget,PRODUCT_POSITIVE|PRICE_POSITIVE,1,0,0,1,0,0,0,0,0,0,0,0,0
769,cakep cakep selalu langganan disini,PLACE_POSITIVE,0,0,0,0,0,0,1,0,0,0,0,0,0
770,tidak sama dengan baju yg pertama,PRODUCT_NEGATIVE,0,1,0,0,0,0,0,0,0,0,0,0,0
771,sering banget dateng kesini karena suka dg koleksi bajunya yang ga bosenin dan timeless pelayanan dari staff nya juga oke banget ramah pol sampai jadi akrab kalau tiap kesana,PRODUCT_POSITIVE|PLACE_POSITIVE,1,0,0,0,0,0,1,0,0,0,0,0,0
